,Image_ID,class,confidence,x_center,y_center,width,height
0,ID_37O2O3JS,fruit_brownspot,0.924253,0.580078,0.514648,0.417969,0.541016
1,ID_SGXSO873,fruit_brownspot,0.372509,0.570312,0.53418,0.722656,0.408203
2,ID_SGXSO873,fruit_brownspot,0.38071,0.0429688,0.573242,0.0859375,0.306641
3,ID_SGXSO873,fruit_healthy,0.488137,0.568359,0.535156,0.707031,0.40625
4,ID_ZMZZDDAY,fruit_brownspot,0.577205,0.381836,0.595703,0.337891,0.449219
5,ID_ZMZZDDAY,fruit_woodiness,0.766356,0.381836,0.594727,0.333984,0.443359
6,ID_J1YANQKB,fruit_woodiness,0.965,0.608398,0.517578,0.412109,0.570312
7,ID_A247GOXL,fruit_healthy,0.974694,0.483398,0.526367,0.529297,0.478516
8,ID_FRDZ97NV,fruit_brownspot,0.676368,0.597656,0.46875,0.75,0.433594
9,ID_ZZI6IV38,fruit_healthy,0.965445,0.387695,0.508789,0.455078,0.369141
10,ID_905JQT7P,fruit_woodiness,0.912203,0.104492,0.695312,0.208984,0.417969
11,ID_905JQT7P,fruit_brownspot,0.929922,0.587891,0.423828,0.402344,0.46875
12,ID_GXCLBQP8,fruit_brownspot,0.906168,0.572266,0.444336,0.433594,0.521484
13,ID_M9M1FEL7,fruit_healthy,0.89094,0.448242,0.112305,0.236328,0.220703
14,ID_S1IVUVWU,fruit_woodiness,0.307564,0.189453,0.132812,0.375,0.265625
15,ID_S1IVUVWU,fruit_healthy,0.522218,0.192383,0.129883,0.380859,0.255859
16,ID_S1IVUVWU,fruit_healthy,0.971143,0.472656,0.597656,0.582031,0.480469
17,ID_D7T3YRKS,fruit_healthy,0.976051,0.480469,0.527344,0.433594,0.371094
18,ID_D7STMIYY,fruit_woodiness,0.932937,0.400391,0.481445,0.664062,0.416016
19,ID_BTUHH83G,fruit_woodiness,0.942425,0.529297,0.490234,0.421875,0.628906
20,ID_BSNFDTD3,fruit_brownspot,0.277059,0.175781,0.942383,0.351562,0.115234
21,ID_BSNFDTD3,fruit_brownspot,0.874278,0.570312,0.615234,0.550781,0.71875
22,ID_6AV7ZZVH,fruit_brownspot,0.829415,0.608398,0.50293,0.353516,0.431641
23,ID_XLP4MSQW,fruit_brownspot,0.920137,0.570312,0.358398,0.410156,0.541016
24,ID_23937TJW,fruit_brownspot,0.83253,0.394531,0.561523,0.382812,0.298828
25,ID_256YTQEY,fruit_healthy,0.359088,0.417969,0.676758,0.191406,0.142578
26,ID_256YTQEY,fruit_healthy,0.907024,0.126953,0.0605469,0.253906,0.121094
27,ID_256YTQEY,fruit_healthy,0.970743,0.462891,0.419922,0.46875,0.378906
28,ID_LZVTV3O0,fruit_healthy,0.982308,0.371094,0.499023,0.59375,0.494141
29,ID_D5DQ3N77,fruit_brownspot,0.674815,0.922852,0.136719,0.154297,0.265625
30,ID_D5DQ3N77,fruit_woodiness,0.966251,0.380859,0.368164,0.460938,0.255859
31,ID_YNM7G2OU,fruit_healthy,0.969585,0.421875,0.526367,0.476562,0.357422
32,ID_W3GDSS9L,fruit_healthy,0.476467,0.828125,0.0595703,0.28125,0.119141
33,ID_W3GDSS9L,fruit_healthy,0.617817,0.0546875,0.611328,0.109375,0.367188
34,ID_W3GDSS9L,fruit_healthy,0.97667,0.499023,0.53418,0.466797,0.369141
35,ID_ENH8X5NA,fruit_brownspot,0.315703,0.0683594,0.733398,0.132812,0.533203
36,ID_ENH8X5NA,fruit_brownspot,0.852352,0.566406,0.418945,0.398438,0.537109
37,ID_P78DB67S,fruit_brownspot,0.590461,0.514648,0.618164,0.541016,0.509766
38,ID_P78DB67S,fruit_woodiness,0.862,0.705078,0.248047,0.535156,0.390625
39,ID_Y0B7RHYU,fruit_healthy,0.884404,0.532227,0.589844,0.392578,0.320312
40,ID_1O1SNW7P,fruit_brownspot,0.778738,0.532227,0.530273,0.455078,0.701172
41,ID_1O1SNW7P,fruit_brownspot,0.882767,0.357422,0.117188,0.464844,0.230469
42,ID_BRCXK5HY,fruit_healthy,0.398347,0.380859,0.452148,0.746094,0.548828
43,ID_BRCXK5HY,fruit_woodiness,0.44642,0.380859,0.453125,0.746094,0.546875
44,ID_HP4JUAS0,fruit_healthy,0.952507,0.457031,0.523438,0.542969,0.460938
